flat_type,price,address,buildup_area,avg_price_sqft,age_of_property,possesion_status,which_floor,facing,furnicing,project_name,brokrage,carpet_area,bedrooms,bathrooms,balcony,parking,about_property
3 BHK Flat,7.2 Cr,"Bombay ICC, Antop Hill, Wadala, Mumbai",1655 sq.ft,₹43.50 K/sq.ft,5 Year Old,Ready to move,Lowerof 67 floors,Fully Furnished,,Bombay ICC,7.2 LacsAccess Zero Brokerage Properties,1500 sq.ft,3,2,1,2 Covered and 2 Open Parking,"Bombay ICC 2. Spacious 3BHK 1650 sqft with separate servant room, This is a large 3BED and its fully furnished with new interiors done, Apartment has excellent views and has good ventilation. Bombay ICC has all modern amenities. To know more and to iRead More"
1 BHK Flat,1.29 Cr,"Arkade Earth, Kanjurmarg East, Mumbai",675 sq.ft,₹19.11 K/sq.ft,4 Year Old,Ready to move,Middleof 22 floors,Semi Furnished,,Arkade Earth,1.3 Lacs(Negotiable)Access Zero Brokerage Properties,466 sq.ft,1,2,No Balcony,1 Covered Parking,"This is 1bhk with bigger carpet area and owner The price is negotiable , Arkade Earth is a very gated community with all amenities. Since it is located in a gated society, you can be assured of security. The flat is east facing. This is The apartmentRead More"
2 BHK Flat,1.45 Cr,"I C Colony, Borivali West, Mumbai",750 sq.ft,₹19.33 K/sq.ft,20 Year Old,Ready to move,Higherof 4 floors,Unfurnished,,No ChargeAccess Zero Brokerage Properties,1.45 Cr,2,2,No Balcony,Full,1 Open Parking,"2 BHK Flat for sale in Borivali West, Mumbai - contact now, for details about the most coveted property. This 2 BHK unit is available in Borivali West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in BorRead More"
1 BHK Flat,1.32 Cr,"Amal Aspen Park, Shiv Shankar Nagar, Goregaon East, Mumbai",550 sq.ft,₹24 K/sq.ft,5 Year Old,Ready to move,Middleof 16 floors,Fully Furnished,,Amal Aspen Park,1.3 LacsAccess Zero Brokerage Properties,423 sq.ft,1,2,No Balcony,1 Covered Parking,"This lovely 1 BHK apartment/flat in Goregaon East is available for sale in one of Western Mumbai's most popular projects, Unique Aspen Park. Containing 1 bedroom(s), 2 bathrooms , this flat is spread over a Super built up area of 550 sq.m. This flat Read More"
2 BHK Flat,2.3 Cr,"Kabra New Vinay, Kalina, Santacruz East, Mumbai",1000 sq.ft,₹23 K/sq.ft,4 Year Old,Ready to move,Middleof 13 floors,Semi Furnished,,Kabra New Vinay,2.3 LacsAccess Zero Brokerage Properties,645 sq.ft,2,2,No Balcony,2 Covered Parking,"Looking for a 2 BHK Flat for sale in Mumbai? Your search ends here. Buy this 2 BHK property in Mumbai's finest location, Santacruz East. It is on floor 5 out of 13 floors. This Flat is available at a reasonable price of Rs 2.3 Cr. Maintenance chargesRead More"
2 BHK Flat,4.0 Cr,"Five garden, Brahmnwada, Matunga East, Mumbai",1005 sq.ft,₹39.80 K/sq.ft,1 Years Old,Ready to move,Lowerof 10 floors,Unfurnished,,No ChargeAccess Zero Brokerage Properties,4.0 Cr,2,2,1,More than a month ago,1 Covered Parking,"This is 2 Bhk apartment for sale nearby five garden 840 carpet area 2 washroom with 1 car parking call for more information.... More About This Property Property for sale in Matunga, Mumbai. This 2 BHK Flat is located in Mumbai's most promising locatRead More"
2 BHK Flat,2.2 Cr,"Kalina, Santacruz East, Mumbai",763 sq.ft,₹28.83 K/sq.ft,10 Year Old,Ready to move,Higherof 7 floors,Semi Furnished,,2.2 LacsAccess Zero Brokerage Properties,2.2 Cr,2,2,No Balcony,More than a month ago,1 Covered Parking,"Property for sale in Santacruz East, Mumbai. This 2 BHK Flat is located in Mumbai's most promising location. It is on floor 5. The total number of floors in this building is 7. This Flat's price is Rs 2.2 Cr. Homebuyers will also need to pay Rs 5000 Read More"
2 BHK Flat,2.2 Cr,"Tilak Nagar, Chembur, Mumbai",840 sq.ft,₹26.19 K/sq.ft,Ready to move,East facing,East facingFacing,,,2.2 LacsAccess Zero Brokerage Properties,2.2 Cr,2,2,No Balcony,More than a month ago,1 Covered Parking,AVAILABLE BRANDNEW 2 BHK UNFURNISHED FLAT FOR SELL NEAR BY SAHYADRI GROUND IN A PRIME AND POSH LOCATION OF TILAK NAGAR More About This Property Best 2 BHK Flat for modern-day lifestyle is now available for sale. Grab this 2 BHK property for sale in oRead More
3 BHK Flat,4.6 Cr,"Kamala Nagar, Vile Parle West, Mumbai",1235 sq.ft,₹37.25 K/sq.ft,1 Years Old,Ready to move,Higherof 9 floors,Unfurnished,,4.6 LacsAccess Zero Brokerage Properties,4.6 Cr,3,3,No Balcony,More than a month ago,2 Covered Parking,"3 BHK Flat for sale in Vile Parle West, Mumbai - contact now, for details about the most coveted property. This 3 BHK unit is available in Vile Parle West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer inRead More"
2 BHK Flat,2.05 Cr,"Sheth Vasant Oasis, Marol, Andheri East, Mumbai",1100 sq.ft,₹18.64 K/sq.ft,6 Year Old,Ready to move,Middleof 22 floors,Semi Furnished,,Sheth Vasant Oasis,2.0 LacsAccess Zero Brokerage Properties,700 sq.ft,2,2,2,2 Covered Parking,"Looking for a good 2 BHK Flat in Andheri East, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 8. Total number of floors is 22. Maintenance charges of this property is Rs 0. This Flat is available for Rs 2Read More"
1 BHK Flat,1.3 Cr,"Vision Heights, Khan Estate, Jogeshwari West, Mumbai",652 sq.ft,₹19.94 K/sq.ft,1 Years Old,Ready to move,Middleof 24 floors,Semi Furnished,,Vision Heights,1.3 LacsAccess Zero Brokerage Properties,522 sq.ft,1,2,No Balcony,1 Covered Parking,"Vision Heights by Fiona Realty is one of the well-known Ready to Move-in projects in Jogeshwari West, offering low budget apartments. With almost all basic amenities in place, Vision Heights brings highly affordable yet beautiful. There are 1BHK and Read More"
1 BHK Flat,1.61 Cr,"Hiranandani Maple A B and C Wing, Chandivali, Powai, Mumbai",650 sq.ft,₹24.77 K/sq.ft,3 Year Old,Ready to move,Higherof 17 floors,Semi Furnished,,Hiranandani Maple A B and C Wing,1.6 LacsAccess Zero Brokerage Properties,382 sq.ft,1,1,No Balcony,1 Covered Parking,"This beautiful 1 BHK flat in Hiranandani gardens powai, Central mumbai suburbs is situated in Hiranandani Zen Maple, one of the popular residential society in Central Mumbai Suburbs. Containing 1 bedroom(s), 1 bathroom , this flat is spread over a BuRead More"
2 BHK Flat,1.5 Cr,"I C Colony, Borivali West, Mumbai",688 sq.ft,₹21.80 K/sq.ft,12 Year Old,Ready to move,Middleof 8 floors,Semi Furnished,,1.5 LacsAccess Zero Brokerage Properties,1.5 Cr,2,2,No Balcony,15 days ago,1 Open Parking,"Its 2 bhk apt for sale in golden arc near Shanti ashram bus depo compact but very well excute with open parking  More About This Property Property for sale in Borivali West, Mumbai. This 2 BHK Flat is located in Mumbai's most promising location. It iRead More"
1 BHK Flat,1.05 Cr,"OM SHREE SHANTI KUNJ CHS, Sai Baba Nagar, Chembur, Mumbai",560 sq.ft,₹18.75 K/sq.ft,5 Year Old,Ready to move,Middleof 15 floors,Unfurnished,,1.1 LacsAccess Zero Brokerage Properties,1.05 Cr,1,1,No Balcony,More than a month ago,No Parking,"AVAILABLE 1 BHK FLAT FOR SALE IN TILAK NAGAR MUMBAI HARBOUR LINE . IT IS UNFURNISHED FLAT . IT HAS 430 CARPET . PRICE 1.05 CR . More About This Property A 1 BHK Flat for sale in Chembur, Mumbai. This beautifully designed 1 BHK unit with all the moderRead More"
3 BHK Flat,4.8 Cr,"Mittal Aristo, Parel, Mumbai",1850 sq.ft,₹25.95 K/sq.ft,3 Year Old,Ready to move,Middleof 15 floors,Semi Furnished,,Mittal Aristo,4.5 LacsAccess Zero Brokerage Properties,1350 sq.ft,3,4,No Balcony,1 Covered Parking,"It is a 3BHK residential apartment for sale. It is semi furnished flat. Very good connectivity, Prime location, Good ventilation and Sun light. For more details feel free to call us ......  OM REALTY More About This Property Looking for a 3 BHK Flat Read More"
2 BHK Flat,2.2 Cr,"Lodha Aurum Grande, Kanjurmarg East, Mumbai",1330 sq.ft,₹16.54 K/sq.ft,5 Year Old,Ready to move,Middleof 34 floors,Unfurnished,,Lodha Aurum Grande,2.2 LacsAccess Zero Brokerage Properties,795 sq.ft,2,2,2,1 Covered Parking,"Lodha Aurum Grande Kanjur Marg Eaast 
2BHK Middle Floor 
Vaastu Flat
1 Parking 
Easy to connect Eastern Express High way & Powai JVLR
For more details call now.
 More About This Property One of the finest property in Kanjurmarg East is now available Read More"
4 BHK Flat,6.2 Cr,"Kanakia Silicon Valley, Krishna Nagar, Powai, Mumbai",1965 sq.ft,₹31.55 K/sq.ft,1 Years Old,Ready to move,Lowerof 24 floors,Unfurnished,,Kanakia Silicon Valley,6.2 LacsAccess Zero Brokerage Properties,1512 sq.ft,4,4,No Balcony,1 Covered and 1 Open Parking,"Kanakia Silicon Valley by Kanakia Spaces Realty is one of the well-known under-construction projects in Powai, offering low budget apartments.  Kanakia Silicon Valley Powai is scheduled for possession in Jun, 2025. With almost all basic amenities in Read More"
2 BHK Flat,1.55 Cr,"Nahar Orchid Enclave, Chandivali, Powai, Mumbai",810 sq.ft,₹19.14 K/sq.ft,16 Year Old,Ready to move,Lowerof 12 floors,Unfurnished,,Nahar Orchid Enclave,1.6 LacsAccess Zero Brokerage Properties,650 sq.ft,2,2,1,No Parking,"Selling my decent, well maintained 2 bhk flat ( 810 sq. ft. built up,  carpet around 650 sq. ft.)  at Orchid Enclave, Nahar Amrit Shakti,  Chandivali, Mumbai-72 , 2nd floor with marble flooring,  all side wide open view, good strong building & spacioRead More"
2 BHK Flat,1.7 Cr,"Evening Star, Chandivali, Powai, Mumbai",890 sq.ft,₹19.10 K/sq.ft,15 Year Old,Ready to move,Higherof 7 floors,Semi Furnished,,Evening Star,1.7 LacsAccess Zero Brokerage Properties,690 sq.ft,2,2,No Balcony,1 Covered Parking,"2 BHK Flat for sale in Andheri East, Mumbai - contact now, for details about the most coveted property. This 2 BHK unit is available in Andheri East and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in AndheRead More"
2 BHK Flat,2.24 Cr,"Sunteck City Avenue 1, Jawahar Nagar, Goregaon West, Mumbai",1100 sq.ft,₹20.36 K/sq.ft,6 Year Old,Ready to move,Lowerof 32 floors,Unfurnished,,Sunteck City Avenue 1,2.2 LacsAccess Zero Brokerage Properties,870 sq.ft,2,2,3,1 Covered Parking,"Available 2 BHK New Brand Flat For Sale in Sunteck City Avenue 1, along with one covered car Park, Complex has all modern amenities, Complex has been surrounded by Market, Banks, Commercial Hubs, Schools, Colleges, Complex has easy assess to Western Read More"
2 BHK Flat,1.4 Cr,"Gavan Pada, Mahakali Nagar, Mulund East, Mumbai",700 sq.ft,₹20 K/sq.ft,2 Year Old,Ready to move,Middleof 17 floors,Unfurnished,,1.4 LacsAccess Zero Brokerage Properties,1.4 Cr,2,2,No Balcony,2 days ago,1 Covered Parking,"Check out this 2 BHK Flat for sale in Mulund East, Mumbai. This 2 BHK Flat is perfect for a modern-day lifestyle. Mulund East is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Flat for sale now. It is loRead More"
1 BHK Flat,98.0 L,"Srishti Mayuresh Srishti, Kokan Nagar, Bhandup West, Mumbai",550 sq.ft,₹17.82 K/sq.ft,15 Year Old,Ready to move,Lowerof 20 floors,Semi Furnished,,Srishti Mayuresh Srishti,"98,000Access Zero Brokerage Properties",450 sq.ft,1,1,No Balcony,1 Covered Parking,"Available 1Bhk Semi Furnished flat on rent in Mayuresh Srishti Bhandup west. Maintained flat having good view and ventilation, which considered as to bring positive energy. flat is ready possession including Modular kitchen, pipe gas. lift, jogging tRead More"
3 BHK Flat,2.7 Cr,"Agarwal Nimit Tower, Kandivali West, Mumbai",1300 sq.ft,₹20.77 K/sq.ft,2 Year Old,Ready to move,Middleof 23 floors,Fully Furnished,,Agarwal Nimit Tower,2.7 LacsAccess Zero Brokerage Properties,1000 sq.ft,3,3,No Balcony,1 Covered and 1 Open Parking,"Looking for a good 3 BHK Flat in Kandivali West, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 8. Total number of floors is 23. Maintenance charges of this property is Rs 6000. This Flat is available forRead More"
2 BHK Flat,2.5 Cr,"JP Decks, Dindoshi, Malad East, Mumbai",1300 sq.ft,₹19.23 K/sq.ft,7 Year Old,Ready to move,Middleof 39 floors,Unfurnished,,JP Decks,2.5 LacsAccess Zero Brokerage Properties,900 sq.ft,2,2,1,1 Covered Parking,"2 BHK Flat for sale in Goregaon East, Mumbai with modern-day amenities. The Flat is in Goregaon East which is a promising investment destination in Mumbai. This might be your chance to grab the best 2 BHK property for sale in Goregaon East. The propeRead More"
1 BHK Flat,98.0 L,"Godrej Tranquil, Hanuman Nagar, Kandivali East, Mumbai",700 sq.ft,₹14 K/sq.ft,2 Year Old,Ready to move,Middleof 21 floors,Unfurnished,,Godrej Tranquil,"98,000Access Zero Brokerage Properties",425 sq.ft,1,2,No Balcony,1 Covered Parking,"1 BHK brand new apartment available in Godrej tranquil building with all amenities like swimming pool, Gym, garden, club House, ect.
98 lakhs+ taxes
425sqft. Carpet area  More About This Property A 1 BHK Flat for sale in Kandivali East, Mumbai. This Read More"
2 BHK Flat,2.1 Cr,"Padma Nagar, Borivali West, Mumbai",800 sq.ft,₹26.25 K/sq.ft,10 Year Old,Ready to move,Lowerof 20 floors,Semi Furnished,,Krishraj Tower,2.1 LacsAccess Zero Brokerage Properties,700 sq.ft,2,2,No Balcony,1 Open Parking,"Decent semi furnished flat, gated society, kids play area, sports play area, east West door, as per vastu,near joggers park, super market. More About This Property A 2 BHK Flat for sale in Borivali West, Mumbai. This beautifully designed 2 BHK unit wRead More"
2 BHK Flat,1.98 Cr,"Kalpataru Crest Wing B Avalon, Subhash Nagar, Bhandup West, Mumbai",1250 sq.ft,₹15.84 K/sq.ft,6 Year Old,Ready to move,Middleof 36 floors,Unfurnished,,Kalpataru Crest Wing B Avalon,2.0 LacsAccess Zero Brokerage Properties,807 sq.ft,2,2,No Balcony,1 Covered Parking,"3 bhk  Lavish apartment with  modular kitchen and done up dry area, an eco friendly green structure, the project features around 85% of open spaces. Exquisitely designed multi-Storied towers. Design that accentuates the natural lighting and allows cRead More"
2 BHK Flat,2.55 Cr,"Shree Guru Ashish, Sahakar Nagar, Chembur, Mumbai",1100 sq.ft,₹23.18 K/sq.ft,1 Years Old,Ready to move,Higherof 13 floors,Semi Furnished,,Shree Guru Ashish,2.5 LacsAccess Zero Brokerage Properties,764 sq.ft,2,2,1,1 Covered Parking,"A Brand new Spacious 2BHK apartment is available for Sale at SKG Guru Ashish, one of the best developments by SKG. This amazing apartment enjoys views of golf course and has a large balcony. It also has outdoor amenities like gym, kids play area, lanRead More"
2 BHK Flat,1.5 Cr,"Lords, Rajiv Gandhi Nagar, Bhandup West, Mumbai",800 sq.ft,₹18.75 K/sq.ft,10 Year Old,Ready to move,Higherof 22 floors,Semi Furnished,,Lords,1.5 LacsAccess Zero Brokerage Properties,750 sq.ft,2,2,1,1 Covered and 1 Open Parking,"2 BHK Flat for sale in Mumbai. This property is in Bhandup West, which is a coveted investment location. This tastefully designed 2 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 19. The Read More"
1 BHK Flat,1.65 Cr,"Tagore Road, Santacruz West, Mumbai",500 sq.ft,₹33 K/sq.ft,1 Years Old,Ready to move,Middleof 11 floors,Unfurnished,,1.6 LacsAccess Zero Brokerage Properties,1.65 Cr,1,1,1,18 days ago,1 Open Parking,"1bhk 1;55 cr higher floor, with adjacent common terrace, one parking, 406 rera carpet santacruz east, new construction , call for more details More About This Property One of the finest property in Santacruz West is now available for sale. This is a Read More"
6 BHK Flat,10.0 Cr,"Oberoi Sky City Tower F, Khande Rao Dongari, Borivali East, Mumbai",2174 sq.ft,₹46 K/sq.ft,5 Year Old,Ready to move,Middleof 63 floors,Unfurnished,,Oberoi Sky City Tower F,10.0 LacsAccess Zero Brokerage Properties,2174 sq.ft,6,4,4,3 Covered Parking,3+ 3 BHK jody apt Luxury flat with balcony on the higher floor available for sale in Oberoi Sky City. The builder has just given possession with OC. A magnificent superstructure of 62 story tower with 8 Towers on 25 acres of land offering 3 and 4 BHKRead More
1 BHK Flat,1.35 Cr,"Vision Heights, Khan Estate, Jogeshwari West, Mumbai",652 sq.ft,₹20.70 K/sq.ft,1 Years Old,Ready to move,Middleof 24 floors,Semi Furnished,,Vision Heights,1.4 LacsAccess Zero Brokerage Properties,522 sq.ft,1,2,No Balcony,1 Covered Parking,"Vision Heights by Fiona Realty is one of the well-known Ready to Move-in projects in Jogeshwari West, offering low budget apartments. With almost all basic amenities in place, Vision Heights brings highly affordable yet beautiful. There are 1BHK and Read More"
3 BHK Flat,8.0 Cr,"Juhu Scheme, Juhu, Mumbai",1700 sq.ft,₹47.06 K/sq.ft,15 Year Old,Ready to move,Lowerof 8 floors,,,8.0 LacsAccess Zero Brokerage Properties,8.0 Cr,3,No Balcony,10 days ago,,1 Covered and 1 Open Parking,"Beautiful, well maintained property. spacious and airy. (dhiru - fird) More About This Property Looking for a good 3 BHK Flat in Juhu, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 2. Total number of floRead More"
2 BHK Flat,3.9 Cr,"Hiranandani Atlantis A And B Wing, MHADA Colony 20, Powai, Mumbai",1050 sq.ft,₹37.14 K/sq.ft,4 Year Old,Ready to move,Middleof 24 floors,Semi Furnished,,Hiranandani Atlantis A And B Wing,3.9 LacsAccess Zero Brokerage Properties,771 sq.ft,2,2,No Balcony,1 Covered and 1 Open Parking,"fully furnished property
fully lake view
airy rooms
vastu compliant flat More About This Property Best 2 BHK Flat for modern-day lifestyle is now available for sale. Grab this 2 BHK property for sale in one of Mumbai's top location, Powai. It is situRead More"
2 BHK Flat,86.22 L,"JP Codename HOTCAKE, Chandan Shanti, Mira Road East, Mumbai",923 sq.ft,₹9.34 K/sq.ft,Ready to move,South facing,South facingFacing,,,JP Codename HOTCAKE,No ChargeAccess Zero Brokerage Properties,562 sq.ft,2,2,3,1 Open Parking,One of the finest property in Mira Bhayandar is now available for sale. This is a 2 BHK Flat. Make it yours now. It is on floor 14. It is a 22 storeyed building. The price of this Flat is Rs 86.22 L. This Flat is spacious with a built-up area of 923 Read More
